id,rank,overallRating,firstName,lastName,commonName,birthdate,height,weight,skillMoves,weakFootAbility,preferredFoot,position,positionType,alternatePositions,nationality,team,leagueName,playStyles,playStylesPlus,pac,sho,pas,dri,def,phy,acceleration,sprintSpeed,finishing,shotPower,longShots,volleys,penalties,positioning,shortPassing,longPassing,curve,freeKickAccuracy,crossing,vision,dribbling,ballControl,agility,balance,reactions,composure,interceptions,defensiveAwareness,standingTackle,slidingTackle,headingAccuracy,aggression,jumping,stamina,strength,gkDiving,gkHandling,gkKicking,gkPositioning,gkReflexes
231747,1,91,Kylian,Mbappé,,,182,75,5,4,1,ST,Attack,LW,France,Real Madrid,LALIGA EA SPORTS,"Acrobatic,Finesse Shot,Flair,Rapid,Trivela",Quick Step,97,90,80,92,36,78,97,97,94,90,83,84,84,93,86,71,80,69,78,83,93,92,93,82,93,88,38,26,34,32,73,64,88,88,77,,,,,
231866,2,91,Rodri,,,,191,82,3,4,1,CDM,Midfielder,CM,Spain,Manchester City,Premier League,"Aerial,Bruiser,Long Ball Pass,Power Shot,Press Proven",Tiki Taka,66,80,86,84,87,85,65,66,74,92,89,71,62,76,93,91,86,64,76,84,84,90,66,67,93,94,84,92,87,82,81,85,83,91,83,,,,,
239085,4,91,Erling,Haaland,,,195,94,3,3,2,ST,Attack,,Norway,Manchester City,Premier League,"Bruiser,Power Header,Power Shot,Press Proven",Acrobatic,88,92,70,81,45,88,80,94,96,94,83,90,90,96,77,66,77,62,58,74,79,83,77,69,94,87,43,38,47,29,83,88,92,76,93,,,,,
252371,5,90,Jude,Bellingham,,,186,75,4,4,1,CAM,Midfielder,CM,England,Real Madrid,LALIGA EA SPORTS,"Flair,Intercept,Slide Tackle,Technical",Relentless,80,87,83,88,78,83,81,80,90,85,86,77,74,91,89,89,73,68,66,90,89,89,82,79,91,87,82,77,79,77,75,85,84,93,77,,,,,
238794,7,90,Vini,Jr.,,,176,73,5,4,1,LW,Attack,"ST, LM",Brazil,Real Madrid,LALIGA EA SPORTS,"Chip Shot,Finesse Shot,First Touch,Flair,Rapid,Trivela",Quick Step,95,84,81,91,29,69,95,95,89,81,83,73,71,87,83,77,79,62,81,85,93,90,94,84,86,83,26,32,25,18,50,58,74,84,65,,,,,
192985,9,90,Kevin,De Bruyne,,,181,75,4,5,1,CM,Midfielder,CAM,Belgium,Manchester City,Premier League,"Dead Ball,Long Ball Pass,Pinged Pass,Trivela,Whipped Pass",Incisive Pass,67,87,94,87,65,78,67,67,84,92,90,83,83,88,94,93,93,83,95,95,86,92,75,78,92,88,66,66,70,53,55,75,71,88,75,,,,,
202126,11,90,Harry,Kane,,,188,86,3,4,1,ST,Attack,,England,FC Bayern München,Bundesliga,"First Touch,Incisive Pass,Long Ball Pass,Power Header,Trivela",Finesse Shot,65,93,84,83,49,82,64,66,95,94,89,89,93,94,86,88,82,69,80,86,82,87,66,73,94,92,42,46,46,38,91,80,87,75,86,,,,,
222665,12,89,Martin,Ødegaard,,,178,68,5,2,2,CM,Midfielder,CAM,Norway,Arsenal,Premier League,"First Touch,Flair,Pinged Pass,Technical,Trivela,Whipped Pass",Incisive Pass,70,82,89,89,67,66,72,69,83,82,84,79,68,84,91,89,84,85,86,91,89,91,85,83,91,87,69,68,72,57,55,64,66,88,56,,,,,
230621,13,89,Gianluigi,Donnarumma,,,196,90,1,3,1,GK,Defense,,Italy,Paris SG,Ligue 1 McDonald's,Footwork,Deflector,90,84,73,90,52,87,50,55,12,55,18,8,24,14,36,34,12,14,12,60,28,30,57,38,84,65,26,21,14,16,12,30,73,41,75,90.0,84.0,73.0,87.0,90.0
212831,15,89,Alisson,,,,193,91,1,3,1,GK,Defense,,Brazil,Liverpool,Premier League,"1v1 Close Down,Far Throw",Deflector,86,85,85,89,56,90,60,49,13,64,14,20,23,13,60,58,19,18,17,66,27,42,40,37,87,66,11,15,19,16,29,27,82,32,78,86.0,85.0,85.0,90.0,89.0
192119,16,89,Thibaut,Courtois,,,200,96,1,3,2,GK,Defense,,Belgium,Real Madrid,LALIGA EA SPORTS,"Cross Claimer,Far Throw",1v1 Close Down,85,89,76,90,46,88,42,52,14,57,17,12,27,13,33,35,19,20,14,44,13,23,63,45,88,66,15,20,18,16,13,23,68,38,70,85.0,89.0,76.0,88.0,90.0
231478,18,89,Lautaro,Martínez,,,174,72,4,4,1,ST,Attack,,Argentina,Lombardia FC,Serie A Enilive,"Power Shot,Relentless,Technical",Finesse Shot,82,88,75,87,54,85,84,80,93,87,80,92,74,92,79,73,80,65,68,79,85,89,89,92,92,88,48,55,51,44,86,87,93,83,85,,,,,
203376,20,89,Virgil,van Dijk,,,193,92,2,3,1,CB,Defense,,Holland,Liverpool,Premier League,"Anticipate,Block,Bruiser,Jockey,Long Ball Pass,Power Header",Aerial,78,60,71,71,89,86,66,87,52,81,64,45,62,47,80,86,60,70,53,67,70,77,54,50,88,90,88,90,91,86,87,85,89,72,93,,,,,
192448,21,89,Marc-André,ter Stegen,,,187,85,1,4,1,GK,Defense,,Germany,FC Barcelona,LALIGA EA SPORTS,1v1 Close Down,Footwork,86,85,89,91,47,86,45,50,14,67,10,14,25,11,61,63,18,12,18,70,21,30,39,43,85,70,22,25,13,10,11,43,72,35,78,86.0,85.0,89.0,86.0,91.0
209331,22,89,Mohamed,Salah,,,175,72,4,3,2,RW,Attack,RM,Egypt,Liverpool,Premier League,"Chip Shot,Rapid,Trivela",Finesse Shot,89,87,82,88,45,75,89,89,90,82,84,83,81,92,86,77,84,69,80,85,88,86,89,91,93,88,55,38,43,41,59,63,79,87,73,,,,,
237692,23,88,Phil,Foden,,,171,69,4,3,2,RW,Attack,"LW, CAM, RM",England,Manchester City,Premier League,"First Touch,Flair",Technical,86,86,85,90,57,63,89,83,88,89,89,59,64,85,88,84,88,74,80,86,90,91,92,92,85,86,59,60,59,47,47,64,66,83,53,,,,,
158023,25,88,Lionel,Messi,,,169,67,4,4,2,RW,Attack,"ST, CAM, RM",Argentina,Inter Miami CF,MLS,"Dead Ball,Finesse Shot,Incisive Pass,Quick Step,Tiki Taka,Trivela",Technical,79,85,87,92,33,64,86,73,85,83,87,86,75,89,87,86,93,92,80,90,93,93,90,95,85,94,40,20,35,24,60,44,71,70,68,,,,,
194765,28,88,Antoine,Griezmann,,,176,73,4,3,2,ST,Attack,,France,Atlético de Madrid,LALIGA EA SPORTS,"Acrobatic,Chip Shot,Flair,Incisive Pass,Technical,Trivela",Finesse Shot,80,88,87,89,59,75,81,80,90,85,87,86,79,90,89,86,89,85,82,88,88,91,89,84,90,89,59,45,63,64,85,74,85,86,69,,,,,
239818,29,88,Rúben,Dias,,,187,82,2,4,1,CB,Defense,,Portugal,Manchester City,Premier League,Power Header,Bruiser,67,39,70,69,89,87,65,68,29,74,26,32,45,39,85,81,46,48,54,64,64,75,62,56,89,86,87,90,90,87,87,88,88,78,90,,,,,
188545,30,88,Robert,Lewandowski,,,185,81,4,4,1,ST,Attack,,Poland,FC Barcelona,LALIGA EA SPORTS,"Finesse Shot,First Touch,Incisive Pass,Power Header,Power Shot,Trivela",Chip Shot,75,88,79,86,44,84,76,75,90,89,82,86,90,90,84,70,79,84,76,81,85,90,77,83,89,87,49,35,42,19,88,81,92,76,89,,,,,
239053,32,88,Federico,Valverde,,,182,78,3,4,1,CM,Midfielder,RM,Uruguay,Real Madrid,LALIGA EA SPORTS,"Long Ball Pass,Rapid,Relentless,Trivela",Power Shot,88,82,84,84,80,84,84,91,78,91,87,74,59,86,87,88,74,69,78,86,83,88,77,68,89,84,83,79,85,80,63,81,83,92,82,,,,,
210257,33,88,Ederson,,,,188,86,1,3,2,GK,Defense,,Brazil,Manchester City,Premier League,"Cross Claimer,Pinged Pass",Long Ball Pass,87,82,91,87,64,86,64,63,14,68,18,18,65,20,65,68,39,20,20,70,30,45,60,48,88,70,27,29,15,8,14,38,79,44,78,87.0,82.0,91.0,86.0,87.0
218667,34,88,Bernardo,Silva,,,173,64,4,3,2,CM,Midfielder,RW,Portugal,Manchester City,Premier League,"Flair,Relentless,Tiki Taka,Trivela,Whipped Pass",Technical,75,78,86,92,71,69,83,69,78,79,79,78,64,85,91,82,84,67,84,87,93,92,95,92,89,89,73,70,76,68,54,78,68,93,54,,,,,
200389,38,88,Jan,Oblak,,,188,87,1,3,1,GK,Defense,,Slovenia,Atlético de Madrid,LALIGA EA SPORTS,"Cross Claimer,Far Throw",Far Reach,85,90,78,87,46,86,42,53,11,59,12,13,11,11,43,40,13,14,13,67,12,30,64,48,85,68,24,27,14,18,15,36,72,42,78,85.0,90.0,78.0,86.0,87.0
205452,40,88,Antonio,Rüdiger,,,190,86,2,3,1,CB,Defense,,Germany,Real Madrid,LALIGA EA SPORTS,"Acrobatic,Aerial,Block,Jockey",Bruiser,82,55,73,70,86,86,71,91,40,84,67,34,40,54,84,81,50,56,68,61,69,74,56,50,86,80,85,86,88,87,83,92,89,70,91,,,,,
256630,42,88,Florian,Wirtz,,,177,71,4,4,1,CAM,Midfielder,LM,Germany,Leverkusen,Bundesliga,"Chip Shot,Finesse Shot,First Touch,Flair,Technical,Trivela",Incisive Pass,81,78,87,89,50,67,81,81,79,78,79,80,64,83,91,87,82,69,84,91,90,90,87,87,88,85,44,58,49,44,42,63,64,87,59,,,,,
235073,43,88,Gregor,Kobel,,,195,88,1,3,1,GK,Defense,,Switzerland,Borussia Dortmund,Bundesliga,"Deflector,Far Throw",1v1 Close Down,87,86,73,89,44,87,38,52,10,55,10,10,12,10,39,33,13,12,13,59,24,34,37,29,86,66,14,15,15,15,13,24,71,30,81,87.0,86.0,73.0,87.0,89.0
243715,44,87,William,Saliba,,,193,85,2,3,1,CB,Defense,,France,Arsenal,Premier League,Jockey,Anticipate,82,39,70,74,87,83,77,86,35,60,23,34,47,43,84,78,55,35,58,62,74,82,53,46,86,85,86,88,89,86,79,83,89,72,87,,,,,
232293,45,87,Victor,Osimhen,,,186,77,3,4,1,ST,Attack,,Nigeria,SSC Napoli,Serie A Enilive,"Acrobatic,Chip Shot,Power Header,Rapid",,89,84,65,81,42,82,85,92,88,86,74,83,75,92,72,54,63,52,62,70,80,84,78,67,89,80,34,36,45,22,86,68,94,81,86,,,,,
256790,46,87,Jamal,Musiala,,,184,72,5,4,1,CAM,Midfielder,"LM, CM",Germany,FC Bayern München,Bundesliga,"Flair,Incisive Pass,Trickster",Technical,84,81,78,90,63,64,86,83,84,80,79,73,59,86,84,79,75,59,67,84,94,84,93,93,87,83,65,64,63,66,49,59,69,78,59,,,,,
246669,47,87,Bukayo,Saka,,,178,65,3,4,2,RW,Attack,RM,England,Arsenal,Premier League,"Finesse Shot,Flair,Technical,Whipped Pass",,85,83,81,88,60,70,88,83,84,79,83,79,87,82,83,70,84,69,85,86,89,88,85,88,85,82,62,60,62,60,49,68,71,86,63,,,,,
211110,49,87,Paulo,Dybala,,,177,75,5,3,2,CAM,Midfielder,ST,Argentina,AS Roma,Serie A Enilive,"Dead Ball,Finesse Shot,Flair,Incisive Pass,Technical,Trivela",First Touch,80,85,84,89,41,65,84,76,84,84,86,92,88,83,84,79,89,87,83,88,89,91,88,90,84,87,42,32,42,39,65,48,77,74,67,,,,,
232656,50,87,Theo,Hernández,,,184,81,4,3,2,LB,Defense,LM,France,Milano FC,Serie A Enilive,"Anticipate,Long Throw,Quick Step,Rapid,Relentless",Bruiser,95,76,78,84,81,89,95,95,71,86,76,80,75,80,81,70,80,75,84,75,84,85,83,81,85,80,80,78,86,80,77,86,95,92,88,,,,,
